id,idiom,meaning,example,relevance
2023,At the same time,Simultaneously,I can walk and chew gum at the same time.,5 class
2024,Better late than never,It's better to do something late than not at all,"I finally finished my essay, even though it's due tomorrow. Better late than never, right?",5 class
2025,By and large,Generally speaking,"By and large, most people enjoy pizza.",5 class
2026,Come rain or shine,Regardless of the weather or circumstances,The football game will go ahead come rain or shine.,5 class
2027,Despite the fact that,Although,"Despite the fact that it was raining, we still had fun at the beach.",5 class
2028,Either/or,A choice between two options,You can have either pizza or burgers for dinner.,5 class
2029,Every now and then,Occasionally,"Every now and then, we like to have a movie night at home.",5 class
2030,First and foremost,Most importantly,"First and foremost, you need to be safe when riding your bike.",5 class
2031,For the most part,Mostly,"For the most part, I enjoy playing video games.",5 class
2032,From time to time,Occasionally,"From time to time, I like to try new foods.",5 class
2033,Given that,Considering that,"Given that it's your birthday, you can choose where we go for dinner.",5 class
2034,Hardly ever,Almost never,I hardly ever watch TV anymore.,5 class
2035,If and when,At a particular time or under particular circumstances,"If and when I win the lottery, I'll buy a big house.",5 class
2036,In a nutshell,In summary,"In a nutshell, we need to study for the test tomorrow.",5 class
2037,In any case,Regardless,"In any case, we should be ready for the storm.",5 class
2038,In brief,In short,"In brief, we need to finish the project by Friday.",5 class
2039,In order to,So that,I'm studying hard in order to get good grades.,5 class
2040,In spite of,Despite,"In spite of the fact that it was snowing, we still went for a walk.",5 class
2041,Instead of,In place of,I'm going to have fruit instead of cake for dessert.,5 class
2042,It goes without saying,It's obvious,It goes without saying that we need to be kind to others.,5 class
2043,It's a shame,Unfortunate,It's a shame that we can't go to the park because it's raining.,5 class
2044,It's high time,It's past the time when something should have happened,It's high time that we cleaned our room.,5 class
2045,Just in case,To be prepared for something that may happen,I'm bringing an umbrella just in case it rains.,5 class
2046,Let alone,Not to mention,"I can't afford a new car, let alone a sports car.",5 class
2047,Long story short,In summary,"Long story short, I didn't make it to the party.",5 class
2048,More often than not,Usually,"More often than not, I walk to school.",5 class
349,A piece of cake,Something is very easy to do,This math problem is a piece of cake!,1 Class
350,All ears,Listening very carefully,"I'm all ears, tell me what happened.",1 Class
351,Apple of my eye,Someone or something that is very precious to you,My little sister is the apple of my eye.,1 Class
352,Barking up the wrong tree,Making a mistake in your assumptions or accusations,"If you think I stole your pencil, you're barking up the wrong tree.",1 Class
353,Beat around the bush,Avoiding the main topic or question,Stop beating around the bush and tell me what you really think.,1 Class
354,Blow your own trumpet,Bragging about your own accomplishments,"Sarah loves to blow her own trumpet, she always talks about how great she is.",1 Class
355,Break a leg,Good luck!,"You're going to do great on your presentation, break a leg!",1 Class
356,Butterflies in my stomach,Feeling nervous or anxious,I have butterflies in my stomach before my big test.,1 Class
357,By the skin of your teeth,Just barely succeeding or avoiding failure,I passed the exam by the skin of my teeth.,1 Class
358,Cat got your tongue?,Asking someone why they're not speaking,"You're usually so talkative, cat got your tongue?",1 Class
359,Chew the fat,Chatting or talking casually,We spent the afternoon chewing the fat about our favorite books.,1 Class
360,Cold feet,Feeling nervous or hesitant about doing something,I got cold feet and decided not to go bungee jumping.,1 Class
361,Cut to the chase,Get to the main point or topic,Let's cut to the chase and start discussing the problem.,1 Class
362,Don't count your chickens before they hatch,Don't assume something will happen until it actually does,"Don't get too excited about the field trip, we don't know if it's happening yet.",1 Class
363,Eager beaver,Someone who is very enthusiastic or eager to do something,"Lisa is such an eager beaver, she's always the first one to volunteer.",1 Class
364,Face the music,Accepting the consequences of your actions,"If you didn't do your homework, you'll have to face the music and accept the punishment.",1 Class
365,Fish out of water,Feeling uncomfortable or out of place in a new environment,I felt like a fish out of water at the new school.,1 Class
366,Get a taste of your own medicine,Receiving the same treatment or actions that you gave to someone else,"If you keep teasing your little brother, you might get a taste of your own medicine.",1 Class
367,Give someone the cold shoulder,Ignoring or being unfriendly towards someone,"After the fight, Maria gave her friend the cold shoulder for a few days.",1 Class
368,Go bananas,Get very excited or enthusiastic,The kids went bananas when they heard there would be a surprise party.,1 Class
369,Hit the books,Study or focus on learning,It's time to hit the books and start studying for the exam.,1 Class
370,In hot water,In trouble or facing negative consequences,"If you don't finish your homework, you'll be in hot water with the teacher.",1 Class
371,Jump the gun,Starting or doing something too soon,Don't jump the gun and start the project before we have all the necessary materials.,1 Class
372,Keep your chin up,Stay positive and optimistic,"Don't worry about the test, just keep your chin up and do your best.",1 Class
373,A bird in the hand is worth two in the bush,It's better to keep what you have than to risk losing it by trying to get something better,"I wanted to trade my toy car for a new one, but my mom told me that a bird in the hand is worth two in the bush",1 Class
374,A penny for your thoughts,Used to ask someone what they are thinking about,What are you thinking about? A penny for your thoughts?,1 Class
375,A piece of cake,Something that is very easy to do,"That puzzle was a piece of cake, I finished it in two minutes!",1 Class
376,Actions speak louder than words,What you do is more important than what you say,"My teacher always told me that actions speak louder than words, so I try to be kind to others every day",1 Class
377,All ears,To be ready and eager to listen,"Tell me the story, I'm all ears!",1 Class
378,All thumbs,To be clumsy or awkward with your hands,"I tried to tie my shoes, but I'm all thumbs today",1 Class
379,Apple of my eye,Someone or something that is very special to you,"My little sister is the apple of my eye, I love her very much",1 Class
380,Back to square one,To start over again from the beginning,"I thought I finished my homework, but I made a mistake and had to go back to square one",1 Class
381,Barking up the wrong tree,To make a mistake in your thinking or in accusing someone of something,"My mom thought I ate the last cookie, but she was barking up the wrong tree because it was actually my little brother",1 Class
382,Beat around the bush,To talk in a roundabout way instead of getting straight to the point,"My friend was trying to ask me a question, but he kept beating around the bush and I didn't know what he wanted",1 Class
383,Better late than never,It's better to do something late than to never do it at all,"I forgot to give my teacher my homework yesterday, but I turned it in today and she said better late than never!",1 Class
384,Bite the bullet,To face a difficult or unpleasant situation with bravery and determination,"I didn't want to go to the dentist, but I knew I had to bite the bullet and do it anyway",1 Class
385,Break a leg,"A way of wishing someone good luck, especially before a performance",Break a leg! my mom said to me before I went on stage to sing,1 Class
386,Call it a day,To stop doing something for the day,"We've been playing outside all afternoon, but it's getting dark now so let's call it a day",1 Class
387,Cut corners,"To do something quickly and without paying attention to detail, often resulting in poor quality","I tried to finish my art project quickly by cutting corners, but it didn't turn out very well",1 Class
388,Don't count your chickens before they hatch,Don't assume something will happen before it actually happens,"I thought I was going to win the race, but my mom told me not to count my chickens before they hatch",1 Class
389,Don't judge a book by its cover,Don't make assumptions about someone or something based on its appearance,"My new friend doesn't look very friendly, but I learned not to judge a book by its cover because she is actually very nice",1 Class
390,Down the hatch,A way of saying cheers! before drinking something,Down the hatch! my dad said before taking a sip of his soda,1 Class
481,On solid ground,In a secure and stable position,We made it through the storm and are now on solid ground.,1 Class
482,To be in the same boat,To be in the same difficult or challenging situation as someone else,We're all in the same boat when it comes to sharing toys.,1 Class
483,To hit the nail on the head,To be exactly right about something,My friend hit the nail on the head when he guessed my favorite color.,1 Class
484,To be on the right track,To be doing something correctly or making progress,"Keep practicing, and you'll be on the right track in no time.",1 Class
485,To go overboard,To do or say too much about something,I think I went overboard with the frosting on this cake.,1 Class
486,To be in hot water,To be in trouble or facing consequences,I'm in hot water with my parents because I broke a vase.,1 Class
487,To have your head in the clouds,To be daydreaming or not paying attention,The teacher had to remind me to focus because I had my head in the clouds.,1 Class
488,To be out of your element,To be in a situation or environment that is unfamiliar or uncomfortable,I felt out of my element when I started a new school.,1 Class
489,To be up in the air,To be uncertain or undecided about something,Our plans for the weekend are still up in the air.,1 Class
490,To be a fish out of water,To be in a situation where you feel uncomfortable or out of place,I felt like a fish out of water when I went to a dance party.,1 Class
491,Smooth sailing,When everything is going well,"Once we got past the storm clouds, it was smooth sailing.",1 Class
492,Burn your boats,When you commit completely to something,I'm going to burn my boats and work hard to finish my homework.,1 Class
493,Row your own boat,To be self-reliant and make your own decisions,"Even though my friends don't want to come to the park with me, I'll row my own boat and go anyway.",1 Class
494,Miss the boat,When you've missed your chance to do something,I missed the boat when I forgot to sign up for the art class.,1 Class
495,To rock the boat,To upset a situation or cause problems,"I don't want to rock the boat by asking for more cookies, but I'm still hungry.",1 Class
496,All in the same boat,To be in the same situation as everyone else,We're all in the same boat when it comes to learning our ABCs.,1 Class
497,To be the captain of your own ship,To take charge of your own life and make your own decisions,I want to be the captain of my own ship and choose what book to read next.,1 Class
498,A rising tide lifts all boats,When progress in one area benefits everyone,"When we all work together, a rising tide lifts all boats and we all do better.",1 Class
499,Don't rock the boat,To not cause trouble or create problems,Don't rock the boat and interrupt the teacher while she's talking.,1 Class
500,To miss the boat on something,To be too late to take advantage of something,I missed the boat on getting the last slice of pizza.,1 Class
501,On top of the world,To feel very happy and successful,I felt on top of the world when I finished my puzzle.,1 Class
502,From the top,To start again from the beginning,Let's start the song from the top and sing it all the way through.,1 Class
503,Over the top,When someone does too much or goes too far,My friend's reaction to losing the game was a bit over the top.,1 Class
504,To come out on top,To be successful or win in a situation,"Even though I fell off my bike, I came out on top because I didn't get hurt.",1 Class
505,To be on top of things,To be in control and aware of what's happening,The teacher is always on top of things and knows what we need to learn next.,1 Class
506,To go over the top,To do or say something that is too much or unnecessary,My sister went over the top with the decorations for her doll's birthday party.,1 Class
507,To be at the top of the list,To be the most important or most desired item,Ice cream is at the top of my list for favorite desserts.,1 Class
508,To be at the top of your game,To be performing your best and doing your job well,The basketball player was at the top of his game during the championship.,1 Class
509,To be over the top,When something is too much or excessive,The amount of candy I got on Halloween was way over the top.,1 Class
510,To be over the top of something,To have surpassed or overcome something,"I was proud to be over the top of the hill, even though it was a big climb.",1 Class
511,Full steam ahead,To go forward with energy and enthusiasm,Let's sail full steam ahead and have a great day at the beach.,1 Class
512,To make waves,To cause trouble or create a disturbance,"I don't want to make waves, so I'll share my toys with my friends.",1 Class
513,To be lost at sea,To be in a difficult situation with no clear solution,I felt lost at sea when I couldn't find my favorite toy.,1 Class
514,To be in the same boat,To be in the same situation as someone else,My friend and I are in the same boat when it comes to learning how to swim.,1 Class
515,To be on the high seas,To be traveling on the open ocean,Pirates are often portrayed as sailing on the high seas.,1 Class
516,To be a drop in the ocean,To be a very small part of something much bigger,"Even though I only have a few stickers, they are just a drop in the ocean of my sticker collection.",1 Class
517,To test the waters,To check something out before making a decision,I want to test the waters and see how cold the ocean is before I go in.,1 Class
518,To be a sea of something,To have a lot of something,The beach was a sea of umbrellas and towels.,1 Class
519,To be in hot water,To be in trouble or facing consequences for something,I knew I was in hot water when I broke my mom's vase.,1 Class
520,To ride the waves,To go along with the ups and downs of life,"Sometimes things are tough, but we just have to ride the waves and keep going.",1 Class
1065,Fast asleep,Sleeping deeply and soundly,"After a busy day at school, he was fast asleep in his bed.",1 Class
1066,Fast and furious,Very quick and energetic,"The kids ran around the playground, fast and furious.",1 Class
1067,Fast food,Food that is quick and easy to prepare and serve,Sometimes we have fast food for dinner when we are in a hurry.,1 Class
1068,Fast lane,The part of a road or highway where the traffic moves the fastest,We need to be careful when crossing the fast lane on the highway.,1 Class
1069,Fast talker,Someone who speaks quickly and persuasively,The salesman was a fast talker and convinced us to buy his product.,1 Class
1070,Hold fast,To hold tightly or firmly,Hold fast to the rope so you don't fall off the boat.,1 Class
1071,Fast track,A way to speed up a process or project,She was put on the fast track for promotion because of her hard work.,1 Class
1072,Go fast,To move quickly,Let's go fast to get to the park before it gets dark.,1 Class
1073,Living fast,Living an exciting and often dangerous lifestyle,"Some people choose to live fast and take risks, while others prefer a slower pace.",1 Class
1074,Fast friend,A close and loyal friend,We became fast friends after meeting in kindergarten.,1 Class
1075,Fast asleep,Sleeping deeply and soundly,"The baby was fast asleep in her crib, dreaming sweet dreams.",1 Class
1076,Fast learner,Someone who can learn quickly and easily,She is a fast learner and was able to read before starting kindergarten.,1 Class
1077,Fast forward,To skip ahead to a later part of a recording or video,Let's fast forward through the commercials so we can watch our show.,1 Class
1078,Too fast,Moving too quickly or recklessly,Be careful not to ride your bike too fast down the hill.,1 Class
1079,Fast break,A quick and sudden offensive move in basketball,The team scored a point during a fast break in the game.,1 Class
1080,"If the shoe fits, wear it","If something applies to you, accept it","John said I'm always late, but if the shoe fits, wear it.",1 Class
1081,Come rain or shine,No matter what happens,"We promised to meet at the park, come rain or shine.",1 Class
1082,"When in Rome, do as the Romans do",Follow the customs of the place where you are visiting,"They serve spicy food here, so when in Rome, do as the Romans do.",1 Class
1083,Time after time,Repeatedly,She has been late to class time after time.,1 Class
1084,"On the one hand, on the other hand",Considering different perspectives,"On the one hand, I want to go to the party, but on the other hand, I have a lot of homework to do.",1 Class
1085,Now or never,An opportunity that must be seized immediately,"This is our chance to win the game, it's now or never.",1 Class
1086,All or nothing,Either complete success or total failure,She wanted to win the competition all or nothing.,1 Class
1087,By hook or by crook,By any means necessary,She was determined to finish the project by hook or by crook.,1 Class
1088,Day in and day out,"Every day, consistently",He goes to the gym day in and day out to stay in shape.,1 Class
1089,Neither here nor there,Not relevant or important,"His comment was neither here nor there, it didn't contribute to the conversation.",1 Class
1090,Sooner or later,"Eventually, at some point in time","Sooner or later, we will have to face the consequences of our actions.",1 Class
1091,More or less,"Approximately, not exact","The package should arrive tomorrow, more or less.",1 Class
1092,Inside out,"Completely, thoroughly","She knows the material inside out, she's ready for the test.",1 Class
1093,Heads or tails,A way of making a random choice,"Let's flip a coin, heads or tails?",1 Class
1094,Up and down,"Constantly changing, fluctuating",The stock market has been up and down this year.,1 Class
1095,Bite off more than you can chew,To take on more than you can handle,"I know you want to play all those games, but don't bite off more than you can chew.",1 Class
1096,Break the ice,To make a conversation less awkward or tense,Let's break the ice and introduce ourselves.,1 Class
1097,Butter someone up,To compliment or flatter someone to gain their favor,She buttered up her boss to get a promotion.,1 Class
1098,Cry over spilled milk,To get upset over something that cannot be changed,"It's just a small scratch on your toy car, don't cry over spilled milk.",1 Class
1099,Cut corners,To do something in a careless or cheap way,"I didn't have time to finish my project, so I had to cut corners.",1 Class
1100,Eat your words,To take back something you said,"I said I wouldn't eat any more candy, but I had to eat my words when I saw the delicious chocolate.",1 Class
1101,Face the music,To face the consequences of your actions,"You knew you were breaking the rules, so now you have to face the music.",1 Class
1102,Get the ball rolling,To start something,Let's get the ball rolling and plan our vacation.,1 Class
1103,Give someone the cold shoulder,To ignore or snub someone,She gave him the cold shoulder after he forgot her birthday.,1 Class
1104,Hit the nail on the head,To be exactly right,"You hit the nail on the head, that's exactly what I was thinking.",1 Class
1105,Jump the gun,To do something too early,"Don't jump the gun, let's wait for everyone else before we start the game.",1 Class
1106,Keep your chin up,To stay positive in a difficult situation,"I know you're feeling down, but keep your chin up and things will get better.",1 Class
1107,Let the cat out of the bag,To reveal a secret,She accidentally let the cat out of the bag and told everyone about the surprise party.,1 Class
1108,Make a long story short,To summarize a story or situation,"Make a long story short, he ended up getting lost on his way to the party.",1 Class
1109,Miss the boat,To miss an opportunity,"You missed the boat to sign up for the talent show, registration ended yesterday.",1 Class
1110,Open a can of worms,To create a problem or complicated situation,"I don't want to open a can of worms, so let's just stick to our original plan.",1 Class
1111,Put your foot in your mouth,To say something embarrassing or foolish,I put my foot in my mouth by accidentally calling her by the wrong name.,1 Class
1112,Quit cold turkey,To stop something abruptly and completely,He decided to quit smoking cold turkey and never touched a cigarette again.,1 Class
1113,Run out of steam,To lose energy or motivation,I've been studying for hours and I think I'm starting to run out of steam.,1 Class
1114,Spill the beans,To reveal a secret,She spilled the beans and told everyone about the surprise party.,1 Class
1115,Take a rain check,To decline an invitation but suggest a rain check for a later time,"Thanks for inviting me to the party, but I'm not feeling well so I'll have to take a rain check.",1 Class
1116,Under the weather,To feel sick or unwell,"I'm feeling a bit under the weather, so I think I'll stay home today.",1 Class
1117,Verbally attack,To criticize or attack someone using words,It's not okay to verbally attack someone just because you're angry.,1 Class
1118,A bird in the hand is worth two in the bush,It's better to hold onto what you have than to risk losing it by trying to get something better,"I know you want a new toy, but be happy with the one you have. Remember, a bird in the hand is worth two in the bush.",1 Class
1119,Actions speak louder than words,What a person does is more important than what they say,"Don't just say you'll help clean up. Actions speak louder than words, so show me you're willing to pitch in.",1 Class
1120,All's well that ends well,A good outcome is more important than the process of achieving it,"You didn't enjoy practicing for the play, but you did a great job in the performance. All's well that ends well!",1 Class
1121,An apple a day keeps the doctor away,Eating healthy can help prevent illness,Remember to eat your fruits and veggies! An apple a day keeps the doctor away.,1 Class
1122,April showers bring May flowers,Sometimes you have to endure unpleasant things before good things happen,"It's raining a lot this month, but April showers bring May flowers. That means we'll have beautiful flowers soon.",1 Class
1123,As easy as pie,Something that is very easy to do,Learning to count to ten is as easy as pie.,1 Class
1124,Barking up the wrong tree,To make a wrong assumption about something or someone,"If you think I broke your toy, you're barking up the wrong tree. I haven't played with it all day.",1 Class
1125,Better late than never,Doing something late is better than not doing it at all,"I know you're sorry you forgot to make your bed this morning. But remember, better late than never. Go make it now.",1 Class
1126,Curiosity killed the cat,Being too nosy can get you into trouble,"Don't look through other people's things. Remember, curiosity killed the cat.",1 Class
1127,Don't count your chickens before they hatch,Don't assume something will happen before it actually does,"You're already planning your birthday party, but don't count your chickens before they hatch. You never know what might happen between now and then.",1 Class
1128,Don't cry over spilled milk,Don't get upset over something that can't be changed,You accidentally spilled your juice. Don't cry over spilled milk. It was just an accident.,1 Class
1129,Don't put all your eggs in one basket,Don't risk everything on one plan or idea,It's good to have a backup plan. Don't put all your eggs in one basket.,1 Class
1130,Every cloud has a silver lining,"Even in bad situations, there is always a positive side","You lost your favorite toy, but every cloud has a silver lining. Now you get to pick out a new one!",1 Class
1131,Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,It's better to teach someone to do something than to do it for them,Let me show you how to tie your shoes. Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.,1 Class
1132,Good things come to those who wait,"If you are patient, good things will happen","I know you're excited for your birthday, but good things come to those who wait.",1 Class
1133,Haste makes waste,Doing something too quickly can result in mistakes,"Take your time when you're drawing. Haste makes waste, and we want it to look good.",1 Class
1134,After all,In spite of everything,"I didn't think I could finish the race, but after all, I crossed the finish line.",1 Class
1135,All the time,"Always, continuously",He's playing video games all the time.,1 Class
1136,Around the clock,"Continuously, without stopping",The hospital provides care around the clock.,1 Class
1137,As soon as possible,As quickly as possible,Please complete the assignment as soon as possible.,1 Class
1138,At once,Immediately,We need to leave at once.,1 Class
1139,By heart,From memory,She knows all the lyrics to the song by heart.,1 Class
1140,Deeply,"Strongly, profoundly",He felt deeply about the issue.,1 Class
1141,Evenly,"Equally, without bias",The teacher distributed the candy evenly among the students.,1 Class
1142,Every now and then,"Occasionally, from time to time","Every now and then, we like to have pizza for dinner.",1 Class
1143,Far and away,By a large margin,She was far and away the best dancer in the competition.,1 Class
1144,Firsthand,From personal experience,He knows firsthand how difficult it is to learn a new language.,1 Class
1145,Frequently,"Often, regularly",She frequently checks her email.,1 Class
1146,Hardly ever,Almost never,He hardly ever eats vegetables.,1 Class
1147,In a flash,"Quickly, almost instantaneously",The car passed by in a flash.,1 Class
1148,In a jiffy,Very quickly,I'll be back in a jiffy.,1 Class
1149,In the nick of time,"Just in time, at the last moment",The ambulance arrived in the nick of time.,1 Class
1150,Incredibly,"Extremely, unbelievably",The view from the top of the mountain was incredibly beautiful.,1 Class
1151,Inside out,"Thoroughly, completely",She knows the material inside out.,1 Class
1152,Loudly,"Noisily, audibly",The band played loudly.,1 Class
1153,Most of the time,"Usually, commonly","Most of the time, I walk to school.",1 Class
1154,Never again,Not ever again,He promised himself that he would never again eat so much candy.,1 Class
1155,On purpose,"Deliberately, intentionally",He broke the vase on purpose.,1 Class
1156,Once in a while,"Occasionally, irregularly",We like to have a picnic in the park once in a while.,1 Class
1157,Overnight,"In one night, very quickly",The company became successful almost overnight.,1 Class
1158,Over time,"Gradually, over a period of time",His English improved over time.,1 Class
1159,Particularly,"Especially, specifically",She was particularly interested in art.,1 Class
1160,Perfectly,"Flawlessly, without error",She did the dance routine perfectly.,1 Class
1161,Rarely,"Seldom, almost never",She rarely goes to the movies.,1 Class
1162,Right away,"Immediately, without delay",The teacher asked him to come to her desk right away.,1 Class
1163,Roughly,"Approximately, not precisely",The book weighs roughly one pound.,1 Class
1164,Slowly but surely,Gradually but steadily,She's been studying and improving slowly but surely.,1 Class
1165,Some of the time,"Sometimes, occasionally","Some of the time, I like to read comic books.",1 Class
1166,Suddenly,Quickly and unexpectedly,The car suddenly swerved to avoid hitting a deer.,1 Class
1167,Sure enough,As expected,"Sure enough, it started raining after the weather forecast predicted it.",1 Class
1168,Together,"Cooperatively, collectively",We worked together to finish the puzzle.,1 Class
1169,all ears,eager to listen,"When the teacher asked if anyone had any questions, the students were all ears.",1 Class
1170,blue in the face,exhausted or frustrated,I tried to convince my brother to clean his room until I was blue in the face.,1 Class
1171,bright-eyed and bushy-tailed,alert and full of energy,"After a good night's sleep, I woke up feeling bright-eyed and bushy-tailed.",1 Class
1172,clean as a whistle,completely clean or pure,"After washing the dishes, the kitchen was clean as a whistle.",1 Class
1173,cozy as a bug in a rug,comfortable and snug,"On a cold winter night, I like to wrap myself in a warm blanket and feel cozy as a bug in a rug.",1 Class
1174,dark horse,a person who keeps their abilities or intentions hidden,The quiet girl in our class turned out to be a dark horse when she won the science fair.,1 Class
1175,eager beaver,someone who is enthusiastic and hardworking,Sarah is always the first to finish her assignments. She's such an eager beaver.,1 Class
1176,fancy-free,carefree and unencumbered,"When you're young and single, life can be pretty fancy-free.",1 Class
1177,good as gold,well-behaved and obedient,My little sister was good as gold during the whole car ride.,1 Class
1178,green with envy,jealous,"When I saw my friend's new toy, I turned green with envy.",1 Class
1179,happy-go-lucky,carefree and optimistic,"Even though she has a lot of work to do, she always has a happy-go-lucky attitude.",1 Class
1180,high and mighty,arrogant and haughty,The manager of the store was acting high and mighty with his employees.,1 Class
1181,hot-headed,easily angered or impulsive,"When the referee made a bad call, the player became hot-headed and started yelling.",1 Class
1182,in the dark,uninformed or unaware,"I'm sorry, I can't help you with your math homework because I'm in the dark when it comes to algebra.",1 Class
1183,in the limelight,the center of attention,"When the famous singer came on stage, she was in the limelight and everyone cheered.",1 Class
1184,in the red,financially in debt or losing money,The store has been in the red for the past few months.,1 Class
1185,in the pink,healthy and in good condition,"After the flu, I finally feel like I'm back in the pink.",1 Class
1186,jolly good,excellent or enjoyable,The birthday party was jolly good fun.,1 Class
1187,jump for joy,be extremely happy or excited,"When she got her test results back, she jumped for joy because she had aced it.",1 Class
1188,just what the doctor ordered,exactly what is needed or helpful,"After a long day, a warm bath is just what the doctor ordered.",1 Class
1189,knock on wood,to avoid bad luck,"I've never been in a car accident, knock on wood.",1 Class
1190,last-ditch effort,a final attempt to avoid failure,The team's last-ditch effort to win the game ended in disappointment.,1 Class
1191,loud and clear,easily understood,"When the teacher spoke, she made sure her instructions were heard loud and clear.",1 Class
1192,low-key,quiet and relaxed,"I don't want a big party for my birthday, just something low-key with my family.",1 Class
1193,apple of one's eye,a favorite or beloved person,My son is the apple of my eye.,1 Class
1194,bird's eye view,a broad view or overview,"From the top of the mountain, we had a bird's eye view of the valley below.",1 Class
1195,breadwinner,the person who earns the money to support a family,My dad is the breadwinner in our family.,1 Class
1196,bull in a china shop,a person who is clumsy or careless in a delicate situation,"Be careful with those fragile ornaments, you're like a bull in a china shop!",1 Class
1197,cash cow,a product or business that consistently generates a lot of income,Our new phone app has turned out to be a real cash cow for the company.,1 Class
1198,couch potato,a person who spends a lot of time sitting or lying down and watching TV,"My brother is such a couch potato, he never leaves the house.",1 Class
1199,dark horse,"a person who keeps their talents or abilities hidden, and surprises others with their success","I didn't expect Sarah to do so well in the race, she's a real dark horse.",1 Class
1200,eager beaver,a person who is very enthusiastic and hardworking,"My little brother is always the eager beaver, he finishes his homework before he even gets home.",1 Class
1201,elephant in the room,a topic or problem that is obvious but no one wants to talk about,"We all know that John lost his job, but no one wants to mention the elephant in the room.",1 Class
1202,firecracker,"a person who is lively, energetic, and sometimes unpredictable","My friend Sophia is a real firecracker, you never know what she's going to do next.",1 Class
1203,golden opportunity,a chance to do something that is likely to be very successful or beneficial,Don't miss out on this golden opportunity to invest in the company.,1 Class
1204,heart of gold,a person who is very kind and generous,"My grandmother has a heart of gold, she's always doing things for other people.",1 Class
1205,hot potato,a difficult or sensitive issue that no one wants to deal with,The issue of climate change is a real hot potato for politicians.,1 Class
1206,jack of all trades,"a person who is able to do many different things, but not necessarily an expert in any one thing","My uncle is a real jack of all trades, he can fix anything around the house.",1 Class
1207,jigsaw puzzle,a complex or confusing situation that requires careful analysis or thought to understand,Figuring out how to improve our business model is like solving a jigsaw puzzle.,1 Class
1208,jumbo size,a larger than normal size,Can I get the jumbo size popcorn at the movies?,1 Class
1209,laughing stock,a person who is made fun of or laughed at because of something they did,"After he fell off the stage, he became the laughing stock of the school.",1 Class
1210,life of the party,a person who is very entertaining and fun to be around at social events,"My cousin is always the life of the party, everyone loves her.",1 Class
1211,lone wolf,"a person who prefers to work or live alone, and doesn't socialize much","My neighbor is a bit of a lone wolf, he never comes out of his house.",1 Class
1212,man of the hour,a person who is the center of attention at a particular time,"At the award ceremony, the winner is the man of the hour.",1 Class
1213,monkey business,silly or mischievous behavior,Stop that monkey business and finish your homework!,1 Class
1214,All eyes on me,Everyone is paying attention to me,"During the talent show, all eyes were on me when I sang my solo.",1 Class
1215,It's on me,"I will take care of it, usually referring to payment","Don't worry about the dinner bill, it's on me tonight.",1 Class
1216,Keep it to yourself,Don't tell anyone,"If you have a secret, you should keep it to yourself.",1 Class
1217,That's on them,"It's their responsibility, not mine","If they didn't bring their homework to school, that's on them, not me.",1 Class
1218,We're in this together,We are working towards the same goal,Let's all work together to finish this puzzle. We're in this together.,1 Class
1219,He's got it,He can handle the situation,"If there's a problem, don't worry, he's got it under control.",1 Class
1220,I'm on it,I will take care of it,"If you need me to find a book in the library, just tell me the title and I'm on it.",1 Class
1221,Leave it to me,I will take care of it,"If you need someone to organize the art supplies, leave it to me.",1 Class
1222,No way am I doing that,I absolutely refuse to do that,You want me to jump off the roof? No way am I doing that!,1 Class
1223,They're all the same,They are all similar,"To me, all kinds of pizza are the same. They're all the same.",1 Class
1224,I don't get it,I don't understand,You lost me when you started talking about quantum physics. I don't get it.,1 Class
1225,I know what I'm doing,I have experience and know how to handle the situation,"I've been riding a bike for years. Trust me, I know what I'm doing.",1 Class
1226,It's not my problem,It's not my responsibility,"If you lost your lunchbox, that's not my problem.",1 Class
1227,It's up to us,We need to take responsibility and handle the situation,"If we want to win the game, it's up to us to score more points.",1 Class
1228,Let's call it a day,Let's stop working for now,We've been practicing the song for two hours. Let's call it a day and continue tomorrow.,1 Class
1229,Let's get out of here,Let's leave this place,This party is boring. Let's get out of here and find something fun to do.,1 Class
1230,Let's stick together,Let's stay together as a group,We're going to the amusement park. Let's all stick together so no one gets lost.,1 Class
1231,That's my point,That's what I'm trying to say,You want to go to the beach because it's sunny? That's my point exactly!,1 Class
1232,We're all ears,We are listening carefully,"If you have a story to tell, we're all ears.",1 Class
1233,You're kidding me,You can't be serious,"You ate a whole pizza by yourself? You're kidding me, right?",1 Class
1234,You're on your own,You need to handle the situation by yourself,"If you forget your lunch at home, you're on your own.",1 Class
1235,You're the best,You are very good at something,You finished the puzzle before anyone else! You're the best!,1 Class
1236,You're the one,You are responsible for the situation,"If we don't win the game, you're the one who missed the winning shot.",1 Class
1237,Once in a blue moon,Rarely,We only get to have pizza for dinner once in a blue moon.,1 Class
1238,Over the moon,Extremely happy,I was over the moon when I got a puppy for my birthday.,1 Class
1239,Shoot for the moon,Set ambitious goals,I'm going to shoot for the moon and try to get an A+ on my test.,1 Class
1240,Bark at the moon,Do something pointless or impossible,It's like trying to bark at the moon to ask the cat to stop scratching the furniture.,1 Class
1241,Fly me to the moon,"Take me away, to a better place","Whenever I feel down, I listen to Fly Me to the Moon and imagine myself in a beautiful place.",1 Class
1242,By the light of the silvery moon,"At night, under the moonlight",We went on a picnic by the light of the silvery moon.,1 Class
