id,word,word_definition,antonyms,synonyms,example,relevance
518,Dolphin,A marine mammal known for its intelligence and playfulness,"Shark, octopus, jellyfish, crab","Porpoise, orca, whale, sea lion",We saw dolphins jumping out of the water on our boat ride.,Prep Class
519,Diamond,A precious stone used in jewelry,"Glass, plastic, fake, costume","Gemstone, crystal, rock, mineral",Mom's diamond ring sparkles in the sunlight.,Prep Class
520,Doctor,A medical professional who treats illnesses and injuries,"Patient, illness, injury, disease","Physician, surgeon, pediatrician, dentist",Johnny went to the doctor for a check-up.,Prep Class
521,Dragon,A mythical creature with wings and a long tail,"Unicorn, fairy, mermaid, centaur","Wyvern, serpent, drake, griffin",Sally loves to read books about dragons and knights.,Prep Class
522,Donut,"A sweet, round pastry with a hole in the center","Vegetable, fruit, meat, cheese","Pastry, sweet roll, danish, croissant",Mom bought us some donuts for breakfast.,Prep Class
523,Drumstick,A stick used for playing a drum,"Fork, spoon, knife, spatula","Mallet, drum brush, drum beater, drumstick pair",Johnny used his drumsticks to play a rhythm on the snare drum.,Prep Class
524,Duck,"A waterbird with a broad, flat bill","Land bird, forest bird, eagle, hawk","Mallard, goose, swan, waterfowl",The ducklings followed their mother to the pond.,Prep Class
525,Dolphin,A marine mammal known for its intelligence and playfulness,"Shark, octopus, jellyfish, crab","Porpoise, orca, whale, sea lion",We saw dolphins jumping out of the water on our boat ride.,Prep Class
526,Dinosaur,An extinct reptile that lived millions of years ago,"Crocodile, snake, lizard, turtle","T-Rex, stegosaurus, brontosaurus, velociraptor",Sally loves to learn about dinosaurs and their fossils.,Prep Class
527,Lion,"A large, wild cat with a mane around its neck","Mouse, rabbit, gazelle, zebra","Panthera leo, king of the jungle, big cat, feline",The lion roared loudly in the zoo.,Prep Class
528,Leaf,"The green, flat part of a plant that grows on a stem","Flower, fruit, stem, root","Frond, foliage, blade, petal",The leaves on the trees turn colors in the fall.,Prep Class
529,Lamp,"A device that gives off light, usually with a bulb","Dark, unlit, shadow, blackout","Light fixture, lantern, torch, chandelier",Mom turned on the lamp to read a bedtime story.,Prep Class
530,Lollipop,A type of candy on a stick that you can lick and suck,"Vegetable, fruit, meat, cheese","Sucker, hard candy, gumdrop, toffee",Sally loves to eat lollipops after dinner.,Prep Class
531,Ladybug,"A small, round beetle with red and black spots","Ant, bee, wasp, beetle","Ladybird, ladybeetle, ladybird beetle, ladybird fly",The ladybug crawled on the leaf in the garden.,Prep Class
532,Lemon,"A tart, yellow fruit used in cooking and drinks","Sweet, sugar, honey, chocolate","Citrus, lime, orange, grapefruit",Dad squeezed a lemon into his tea.,Prep Class
533,Letter,A written or printed message sent from one person to another,"Email, text message, phone call, fax","Mail, note, postcard, message",Sally wrote a letter to her grandma.,Prep Class
534,Lunch,A meal eaten in the middle of the day,"Breakfast, brunch, supper, dessert","Midday meal, noon meal, dinner, snack",Johnny ate a sandwich for lunch at school.,Prep Class
535,Lizard,"A reptile with dry, scaly skin and a long tail","Snake, turtle, frog, toad","Gecko, chameleon, iguana, salamander",We saw a lizard sunning itself on a rock.,Prep Class
536,Lock,"A device that secures something, usually with a key","Keyless, unlocked, open, accessible","Padlock, combination lock, deadbolt, latch",Mom locked the door before we went to bed.,Prep Class
537,Lego,A building block toy made of plastic,"Ball, stuffed animal, action figure, doll","Building block, toy brick, construction set, puzzle",Johnny loves to build things with his Legos.,Prep Class
538,Library,A place where books are kept and can be borrowed,"Park, mall, theater, restaurant","Bookstore, archives, reading room, study",Sally and Johnny went to the library to get some books.,Prep Class
539,Light,The natural agent that stimulates sight and makes things visible,"Darkness, dimness, shadow, obscurity","Illumination, brightness, glow, radiance",The light in the room was too bright for Johnny.,Prep Class
540,Lipstick,A cosmetic used to color the lips,"Eyeshadow, blush, foundation, mascara","Lip gloss, lip balm, lip stain, lip liner",Mom put on some lipstick before going out.,Prep Class
541,Lemonade,"A drink made from lemon juice, water, and sugar","Cola, fruit juice, coffee, tea","Lemon water, lemon soda, lemon iced tea, lemonade mix",We drank some cold lemonade on a hot day.,Prep Class
542,Sun,The star that provides light and heat to Earth,"Moon, night, darkness, shade","Star, Sol, sunshine, daylight",We played outside in the sun all day.,Prep Class
543,Sandwich,A food made of two slices of bread with filling in between,"Soup, salad, pizza, pasta","Sub, hoagie, burger, wrap",Mom made us peanut butter and jelly sandwiches.,Prep Class
544,Swing,"A seat hanging by ropes or chains, used for swinging back and forth","Slide, seesaw, monkey bars, merry-go-round","Hammock, rocker, bouncer, teeter-totter",We took turns pushing each other on the swing.,Prep Class
545,Snow,Frozen precipitation that falls from the sky,"Rain, sun, heat, beach","Snowflake, blizzard, powder, slush",We built a snowman in the yard after the snowstorm.,Prep Class
546,Spider,An eight-legged arachnid that spins webs to catch prey,"Butterfly, ladybug, ant, beetle","Arachnid, tarantula, daddy longlegs, black widow",We saw a spider crawling up the wall.,Prep Class
547,Star,A luminous celestial body that appears as a point of light in the sky,"Moon, cloud, rain, storm","Sun, planet, comet, meteor",We wished upon a star before bedtime.,Prep Class
548,Shoe,Footwear that covers and protects the foot,"Barefoot, sock, flip flop, high heel","Sneaker, sandal, boot, slipper",Johnny put on his shoes before going outside.,Prep Class
549,Soccer,A game played with a ball by two teams of 11 players,"Baseball, basketball, hockey, tennis","Football, futbol, kickball, rugby",Sally likes to play soccer with her friends at recess.,Prep Class
550,Shark,A large predatory fish with sharp teeth and a pointed snout,"Dolphin, whale, seal, fish","Great white shark, hammerhead shark, tiger shark, bull shark",We watched a documentary about sharks on TV.,Prep Class
551,Strawberry,"A sweet, juicy red fruit with seeds on the outside","Vegetable, meat, bread, cheese","Berry, blueberry, raspberry, blackberry",We picked some fresh strawberries at the farm.,Prep Class
552,School,A place where children go to learn and be educated,"Home, park, mall, beach","Classroom, academy, institution, university",Sally and Johnny go to school every weekday.,Prep Class
553,Sock,A knitted or woven covering for the foot and lower leg,"Shoe, sandal, slipper, barefoot","Stocking, footie, crew sock, ankle sock",Mom told Johnny to put on clean socks before school.,Prep Class
554,Snack,A small amount of food eaten between meals,"Meal, breakfast, lunch, dinner","Treat, bite, nibble, munchies",We had some popcorn as a snack during the movie.,Prep Class
555,Snake,"A long, legless reptile with a pointed head and scales","Lizard, turtle, frog, toad","Cobra, python, rattlesnake, boa constrictor",We saw a snake in the garden and gave it some space.,Prep Class
556,Slide,A piece of playground equipment that slopes downward,"Swing, seesaw, monkey bars, merry-go-round","Playground slide, chute, ramp, slip-n-slide",Johnny slid down the slide with a big smile.,Prep Class
1347,Paint,Colored liquid used for decorating,"Erase, remove, clear, delete","Dye, pigment, stain, color",I like to paint pictures of animals.,Prep Class
1348,Play,Engage in activity for enjoyment,"Work, study, labor, toil","Frolic, romp, sport, have fun",Let's play tag outside!,Prep Class
1349,Pillow,Soft cushion for resting your head,"Hard, uncomfortable, firm, rigid","Cushion, headrest, bolster, pad",I like to sleep with my favorite pillow.,Prep Class
1350,Pencil,Writing tool with graphite or lead core,"Eraser, delete, remove, clear","Pen, crayon, marker, chalk",I use a pencil to write my name.,Prep Class
1351,Pizza,Flat bread with toppings and cheese,"Broccoli, carrots, salad, soup","Pie, calzone, quiche, tart",My favorite pizza topping is pepperoni.,Prep Class
1352,Plant,Living organism that grows in soil,"Concrete, pavement, metal, plastic","Flower, tree, shrub, herb",Let's plant some seeds in the garden.,Prep Class
1353,Playground,Outdoor area for playing and exercise,"Office, library, museum, theater","Park, field, yard, plaza",I love going to the playground with my friends.,Prep Class
1354,Puppy,Young dog,"Cat, fish, bird, hamster","Pup, doggie, pooch, hound",I want a puppy for my birthday.,Prep Class
1355,Peek,Quick look,"Stare, gawk, scrutinize, inspect","Glance, glimpse, peep, sneak peek",Can I peek at the presents before my birthday?,Prep Class
1356,Pretend,Make-believe or imaginary play,"Real, actual, genuine, authentic","Role-play, act, imagine, fantasize",Let's pretend we are astronauts in space.,Prep Class
1357,Party,Celebration or gathering for fun,"Quiet, serious, solemn, sad","Fiesta, celebration, get-together, shindig",I am having a party for my birthday.,Prep Class
1358,Pajamas,Loose-fitting clothing for sleeping,"Jeans, shirt, socks, shoes","Jammies, sleepwear, nightclothes, nightwear",I like to wear my favorite pajamas to bed.,Prep Class
1359,Playground,Outdoor area for playing and exercise,"Office, library, museum, theater","Park, field, yard, plaza",I love going to the playground with my friends.,Prep Class
1360,Painting,Creating an image using paint,"Erasing, removing, deleting, clearing","Art, artwork, canvas, masterpiece",I made a painting of a flower for my mom.,Prep Class
1361,Pancake,"Flat, round cake made from batter","Salad, soup, sandwich, burger","Flapjack, hotcake, crepe, waffle",I like to eat pancakes with syrup and butter.,Prep Class
1362,Princess,Female member of a royal family,"Commoner, peasant, serf, plebeian","Queen, duchess, lady, monarch",I want to dress up as a princess for Halloween.,Prep Class
1363,Pink,Light shade of red,"Blue, green, yellow, black","Rose, salmon, coral, fuchsia",My favorite color is pink.,Prep Class
1364,Pool,Artificial basin of water for swimming,"Desert, mountain, forest, plain","Swimming pool, pond, lagoon, lake",Let's go swimming in the pool.,Prep Class
1365,Quick,Moving or happening with great speed; rapid,"Slow, sluggish, gradual, unhurried","Fast, swift, speedy, brisk",The student was quick to answer the question.,Prep Class
1366,Quiet,Making little or no noise; calm and peaceful,"Noisy, loud, raucous, boisterous","Silent, hushed, tranquil, still",The student was quiet during nap time.,Prep Class
1367,Queen,The female ruler of a kingdom,"King, commoner, subject, peasant","Monarch, ruler, sovereign, empress",The student dressed up as a queen for Halloween.,Prep Class
1368,Quack,"A person who dishonestly claims to have special knowledge or skill in some field, typically medicine","Expert, specialist, professional, legitimate","Impostor, fraud, charlatan, swindler",The student learned about quacks in their social studies lesson.,Prep Class
1369,Quarter,One of four equal parts of something; a coin worth 25 cents,"Whole, entire, complete, unbroken","Fourth, one-fourth, segment, division",The student divided their sandwich into quarters.,Prep Class
1370,Quest,A search or pursuit made in order to find or obtain something,"Apathy, indifference, disinterest, unconcern","Pursuit, search, hunt, exploration",The student went on a quest to find a lost toy.,Prep Class
1371,Quality,The standard of something as measured against other things of a similar kind; the degree of excellence of something,"Inferiority, mediocrity, substandard, deficiency","Standard, grade, level, caliber",The student's artwork showed great quality.,Prep Class
1372,Question,A sentence or phrase used to ask for information or to test someone's knowledge,"Answer, solution, conclusion, statement","Inquiry, query, interrogative, problem",The student asked a question about the story they read.,Prep Class
1373,Quietly,In a way that makes little or no noise; without disturbance or interruption,"Noisily, loudly, boisterously, disruptively","Silently, softly, calmly, peacefully",The student tiptoed quietly into the classroom.,Prep Class
1374,Quilt,"A warm bed covering made of padding enclosed between layers of fabric and kept in place by lines of stitching, typically with a decorative design","Blanket, throw, sheet, uncovered","Bedspread, coverlet, comforter, duvet",The student made a quilt in their arts and crafts class.,Prep Class
1375,Rabbit,"A small, furry animal with long ears and a short tail","Fox, wolf, predator, carnivore","Bunny, hare, rodent, lapin",The student saw a rabbit in the park.,Prep Class
1376,Rain,Water that falls from the sky in drops,"Drought, dryness, aridity, desertification","Precipitation, shower, drizzle, sprinkle",The student danced in the rain.,Prep Class
1377,Read,To look at and comprehend written words,"Ignore, neglect, disregard, overlook","Peruse, scan, study, scrutinize",The student learned how to read in kindergarten.,Prep Class
1378,Red,"The color of blood or fire, typically seen as a primary color","Blue, green, yellow, white","Crimson, scarlet, ruby, burgundy",The student colored the apple red.,Prep Class
1379,Ride,To travel in or on a vehicle or animal,"Walk, hike, trek, saunter","Drive, commute, journey, cruise",The student rode their bike to the park.,Prep Class
1380,Right,"Correct; in accordance with fact, truth, or reason","Wrong, incorrect, mistaken, inaccurate","Accurate, proper, precise, valid",The student gave the right answer to the question.,Prep Class
1381,Ring,"A small circular band, typically made of metal and worn on a finger","Square, rectangle, triangle, hexagon","Band, hoop, loop, circle",The student gave their friend a ring as a gift.,Prep Class
1382,River,"A large natural stream of water flowing in a channel to the sea, a lake, or another river","Lake, pond, ocean, sea","Stream, brook, creek, tributary",The student went fishing in the river with their family.,Prep Class
1383,Road,"A wide way leading from one place to another, especially one with a specially prepared surface","Trail, path, sidewalk, alley","Street, highway, avenue, lane",The student walked to school on the road.,Prep Class
1384,Rock,A solid mineral material forming part of the surface of the earth,"Liquid, gas, air, vapor","Stone, boulder, pebble, mineral",The student found a shiny rock on the playground.,Prep Class
1385,Roll,To move forward by turning over and over on an axis,"Stop, stay, remain, stand","Turn, spin, rotate, revolve",The student rolled a ball to their friend.,Prep Class
1386,Room,"A space or area within a building, usually enclosed by walls and floor and ceiling","Outdoor, open, public, common","Chamber, space, area, compartment",The student's toys were scattered all over the room.,Prep Class
1387,Rose,"A prickly bush or shrub that typically bears red, pink, yellow, or white fragrant flowers","Weed, thorn, prickly, ugly","Flower, bloom, blossom, petal",The student smelled the sweet fragrance of the rose.,Prep Class
1388,Round,Shaped like a circle or sphere,"Square, rectangular, triangular, oblong","Circular, spherical, orbicular, cyclical",The student drew a round circle on the paper.,Prep Class
1389,Run,To move quickly on foot; to operate or function,"Walk, crawl, limp, hobble","Jog, sprint, dash, scamper",The student likes to run in the park.,Prep Class
1390,Monkey,A small to medium-sized primate,Human,"Ape, chimpanzee, gorilla, baboon",The monkey climbed up the tree.,Prep Class
1391,Mouse,A small rodent with a pointed snout and long tail,"Cat, owl, snake, eagle","Rat, hamster, gerbil, vole",The mouse scurried across the kitchen floor.,Prep Class
1392,Moon,A natural satellite that orbits the Earth,"Sun, Earth, star, asteroid","Satellite, crescent, gibbous, full",The moon is full tonight.,Prep Class
1393,Milk,A white liquid produced by female mammals to feed their young,"Soda, juice, coffee, tea","Dairy, cream, yogurt, cheese",I like to drink milk with my cookies.,Prep Class
1394,Music,Sounds that are arranged in a pleasing way,"Noise, silence, dissonance, cacophony","Melody, rhythm, harmony, tune",I love to listen to music while I draw.,Prep Class
1395,Magic,The art of producing illusions to entertain people,"Reality, science, logic, reason","Sorcery, wizardry, enchantment, conjuring",The magician pulled a rabbit out of his hat.,Prep Class
1396,Map,A drawing or diagram representing the Earth's surface or a part of it,"Territory, wilderness, unknown, uncharted","Chart, atlas, globe, diagram",Let's use a map to find our way.,Prep Class
1397,Monster,"A fictional creature that is typically large, ugly, and frightening","Human, angel, fairy, hero","Beast, demon, ogre, troll",The monster under my bed scared me.,Prep Class
1398,Moonlight,Light that is reflected from the moon,"Darkness, shadow, gloom, dusk","Moonbeam, radiance, glow, shine",The moonlight made the night seem brighter.,Prep Class
1399,Mitten,"A type of glove that covers the hand and wrist, but not the fingers separately","Bare hands, finger gloves, open-finger gloves, wrist warmers","Glove, hand warmer, fingerless gloves, snow gloves",I wear my mittens to keep my hands warm in the winter.,Prep Class
1400,Movie,A story or event recorded by a camera as a series of moving images and shown in a theater or on television,"Book, play, game, concert","Film, motion picture, cinema, flick",Let's watch a movie tonight.,Prep Class
1401,Marshmallow,"A soft, sweet candy made from sugar, corn syrup, and gelatin","Sour, spicy, salty, bitter","Candy, confection, treat, dessert",I love to roast marshmallows over the campfire.,Prep Class
1402,Mailbox,A box for the delivery of mail,"Email, text, phone, fax","Letterbox, postbox, mail slot, post office",Let's go check the mailbox for our letters.,Prep Class
1403,Mountain,A large natural elevation of the Earth's surface rising abruptly from the surrounding level,"Valley, plain, plateau, lowland","Peak, summit, ridge, range",We hiked up the mountain to see the view.,Prep Class
1404,Mirror,A reflective surface that reflects a clear image of the person or object in front of it,"Blurry, opaque, smudged, broken","Reflection, glass, looking glass, mirror image",I looked in the mirror and saw myself smiling.,Prep Class
1405,Nose,"The part of the face that sticks out above the mouth, used for breathing and smelling","Face, Smile, Mouth, Chin","Snout, Proboscis, Honker, Schnozzle",I have a runny nose today.,Prep Class
1406,Name,"A word or set of words by which a person, animal, place, or thing is known, addressed, or referred to","Anonymity, Unknown, Anonymous, No name","Title, Moniker, Appellation, Label",My name is Sarah.,Prep Class
1407,Night,The time from sunset to sunrise when it is dark outside,"Daytime, Morning, Light, Sunrise","Darkness, Evening, Twilight, Dusk",I like to look at the stars at night.,Prep Class
1408,Nurse,"A person trained to care for sick or injured people, especially in a hospital","Patient, Invalid, Critically ill, Unhealthy","Caretaker, Attendant, Medic, Therapist",The nurse gave me a band-aid for my cut.,Prep Class
1409,Nest,A structure built by birds or other animals to hold eggs and offspring,"Unsettled, Disarranged, Scatter, Messy","Den, Burrow, Lodge, Coop",The birds built a nest in the tree outside.,Prep Class
1410,Nut,A hard-shelled seed that can be eaten,"Fruit, Vegetable, Meat, Dairy","Acorn, Almond, Cashew, Pistachio",I love to eat peanuts and almonds as snacks.,Prep Class
1411,Nap,"A short period of sleep, usually during the day","Wakefulness, Insomnia, Alertness, Vigilance","Doze, Slumber, Siesta, Snooze","After lunch, I take a nap for an hour.",Prep Class
1412,North,"The direction to the left of a person facing the rising sun, or the part of the world lying in that direction","South, Southern, Southerly, Antarctic","Up, Upper, Northerly, Arctic",The compass needle always points north.,Prep Class
1413,Nine,The number that is one less than ten,"Zero, One, Two, Three","Niner, Ennead, Nonagon, Novem",My sister is turning nine years old next week.,Prep Class
1414,Net,"A type of material made from threads or cords that are woven or knotted together with holes in them, used for catching fish or other objects","Release, Free, Loose, Let go","Web, Mesh, Screen, Tangle",The fisherman caught a lot of fish in his net.,Prep Class
1415,New,Recently made or brought into existence,"Old, Used, Worn, Familiar","Fresh, Novel, Modern, Contemporary",I got a new dress for my birthday.,Prep Class
1416,Near,At or to a short distance away from something or someone,"Far, Distant, Remote, Removed","Close, Adjacent, Proximal, Abutting",The grocery store is near my house.,Prep Class
1417,Noon,Twelve o'clock in the daytime; midday,"Midnight, Early morning, Late night, Daybreak","Midday, Noonday, Meridian, Noontime",We always eat lunch at noon.,Prep Class
1418,Nice,"Pleasant, enjoyable, or attractive","Mean, Rude, Harsh, Unpleasant","Kind, Friendly, Agreeable, Charming",My teacher is always nice to me.,Prep Class
1419,Kid,A child,"Adult, elder, senior","Child, youngster, little one",That kid is playing with his toy car.,Prep Class
1420,Kind,Gentle and caring,"Mean, unkind, cruel","Nice, friendly, helpful",It's important to be kind to others.,Prep Class
1421,Kiss,Touching with lips as a sign of love or affection,"Punch, hit, kick","Smooch, peck, embrace",My mom gave me a goodnight kiss.,Prep Class
1422,Keep,To hold on to or store something,"Give away, throw out, discard","Hold, retain, maintain",I need to keep my toys in my toy chest.,Prep Class
1423,Key,A small metal object used to open a lock,"Lock, padlock, deadbolt","Lock opener, passkey",I need the key to open my diary.,Prep Class
1424,Kick,To hit or strike with the foot,"Catch, receive, throw","Boot, punt, strike",I like to kick a ball around in the park.,Prep Class
1425,King,A male monarch or ruler of a kingdom,"Peasant, commoner, subject","Monarch, sovereign, emperor",The king sat on his throne.,Prep Class
1426,Kit,A collection of necessary items,"Break, disassemble, scatter","Set, pack, bundle",I have a kit with everything I need to paint.,Prep Class
1427,Kite,A toy made of paper or fabric that flies in the wind,"Grounded, tethered, still","Flying toy, windsock",We flew a kite at the park yesterday.,Prep Class
1428,Water,A clear liquid that is essential for life,"Dryness, dehydration, aridity","H2O, aqua, hydration",I like to drink water when I'm thirsty.,Prep Class
1429,Worm,"A long, slimy creature with no legs","Mammal, reptile, bird","Invertebrate, earthworm, nightcrawler",We found a worm in the garden.,Prep Class
1430,Watch,A small timepiece worn on the wrist or carried in a pocket,"Disregard, ignore, neglect","Timepiece, clock, timer",I like to wear a watch so I know what time it is.,Prep Class
1431,Wind,The movement of air,"Stillness, calm, quiet","Breeze, gust, draft",The wind blew my hair in my face.,Prep Class
1432,Wave,"A disturbance on the surface of a liquid, typically caused by the wind","Calm, stillness, flatness","Ripple, swell, surge",The ocean wave was so big!,Prep Class
1433,Word,A unit of language consisting of one or more spoken sounds or their written representation,"Silence, quiet, mute","Term, expression, phrase",Can you spell this word for me?,Prep Class
1434,Whale,"A large, aquatic mammal","Insect, bird, reptile","Cetacean, orca, humpback",The whale swam in the ocean.,Prep Class
1435,Wagon,A four-wheeled vehicle for carrying goods or people,"Plane, bike, boat","Cart, carriage, truck",We took a wagon ride through the countryside.,Prep Class
1436,Worms,"Small, slender animals with soft bodies","Mammals, reptiles, birds","Invertebrates, nightcrawlers, earthworms",We dug for worms to use as fishing bait.,Prep Class
1437,Watermelon,"A large, juicy fruit with a hard rind and sweet, red flesh","Vegetable, carrot, broccoli","Melon, fruit, citrullus",I love to eat watermelon on a hot day.,Prep Class
1438,Window,"An opening in a wall or roof, typically fitted with glass","Wall, solid, closed","Glass, pane, opening",I like to look out the window and watch the birds.,Prep Class
1439,Wall,A vertical structure that divides or encloses an area,"Opening, entrance, gateway","Partition, barrier, divider",The pictures on the wall are very pretty.,Prep Class
1440,Wolf,A wild carnivorous mammal of the dog family,"Herbivore, prey, non-predator","Canine, predator, pack animal",The wolf howled at the moon.,Prep Class
1441,Wood,Hard material that forms the trunks and branches of trees,"Plastic, metal, synthetic","Timber, lumber, forest",We gathered wood to build a fire.,Prep Class
1442,Wet,Covered or saturated with water or another liquid,"Dry, arid, parched","Soaked, damp, moist",I got wet when I played in the sprinkler.,Prep Class
1443,Web,A network of fine threads spun by spiders,"Solid, block, barrier","Net, mesh, screen",The spider built a web in the corner of the room.,Prep Class
1444,Wormhole,A hypothetical tunnel through space-time,"Solid, barrier, wall","Passage, tunnel, portal","In science fiction, people travel through wormholes to reach other parts of the universe.",Prep Class
1445,Ice,Frozen water,"Heat, Fire, Warmth","Frost, Glacier, Hail","Can I have some ice in my drink, please?",Prep Class
1446,Insect,A small animal with six legs and three body parts,"Mammal, Fish, Bird","Bug, Beetle, Ant",Look at that little insect crawling on the ground!,Prep Class
1447,Ink,Colored liquid used for writing,"Erase, Remove, Rub","Dye, Stain, Colorant",I need to use black ink to sign this paper.,Prep Class
1448,Inside,The inner part or area of something,"Outside, Exterior, Surface","Interior, Center, Core",Please wait inside the house while I go get your umbrella.,Prep Class
1449,Important,Having great value or significance,"Insignificant, Unimportant, Trivial","Essential, Critical, Vital",It's important to brush your teeth every day.,Prep Class
1450,Imagine,To form a mental image or concept,"Forget, Ignore, Disbelieve","Envision, Conceive, Visualize",Can you imagine what it would be like to fly like a bird?,Prep Class
1451,Idea,A thought or concept,"Reality, Fact, Truth","Notion, Concept, Plan",I have an idea for a new game we can play!,Prep Class
1452,Island,A piece of land surrounded by water,"Continent, Mainland, Peninsula","Islet, Atoll, Key",The pirates landed on the island to search for treasure.,Prep Class
1453,In,Inside or into a place or object,"Out, Outside, Exterior","Within, Inside, Interior",Please come in and make yourself comfortable.,Prep Class
1454,Into,To enter or move to a different place or state,"Out of, Outside, Exterior","Inside, Within, Interior",Let's jump into the pool and cool off.,Prep Class
1455,Injure,To harm or damage something or someone,"Heal, Repair, Mend","Hurt, Wound, Damage",Be careful not to injure yourself while playing.,Prep Class
1456,Instrument,An object used to make music,"Voice, Singing, Chorus","Tool, Device, Equipment","I want to learn how to play the piano, it's a beautiful instrument.",Prep Class
1457,Involve,To include or be a part of something,"Exclude, Omit, Avoid","Include, Incorporate, Entail","The game involves running, jumping and catching a ball.",Prep Class
1458,Interesting,Arousing curiosity or attention,"Boring, Uninteresting, Dull","Fascinating, Engaging, Intriguing","That's a very interesting story, please tell me more.",Prep Class
1459,In front of,Located or situated before or ahead of something,"Behind, After, Rear","Ahead, Before, Prior",The teacher stands in front of the class to teach.,Prep Class
1460,Insecticide,A substance used to kill insects,"Repellent, Insect deterrent, Insect attractant","Pesticide, Bug spray, Fumigant",We sprayed the garden with insecticide to keep bugs away from our plants.,Prep Class
1461,Inhale,To breathe in air or other substances,"Exhale, Breathe out, Blow out","Breathe in, Draw in, Suck in",Take a deep breath and inhale the fresh air.,Prep Class
1462,Inside out,With the inner part or surface turned outward,"Right side out, Correctly","Upside down, Reversed, Flipped",You've got your shirt on inside out,Prep Class
1463,Eat,To consume food,"Abstain, Fast, Refuse, Starve","Consume, Devour, Ingest, Nibble",I love to eat pizza for dinner.,Prep Class
1464,Elephant,A large mammal with a trunk and tusks,"Dwarf, Midget, Pygmy, Tiny","Mammoth, Pachyderm, Proboscidean, Tusked beast",The elephant at the zoo is so big and beautiful.,Prep Class
1465,Egg,"The oval or round object laid by a bird, reptile, fish, or invertebrate, containing a developing embryo","Adult, Mature, Senile, Old","Embryo, Ovum, Spawn, Germ",I found a bird's egg in the nest.,Prep Class
1466,Exciting,Causing great enthusiasm and eagerness,"Boring, Dull, Tiresome, Uninspiring","Thrilling, Stimulating, Electrifying, Enthralling",The exciting rollercoaster made my heart race.,Prep Class
1467,Exercise,Physical activity that is done in order to become stronger and healthier,"Laziness, Indolence, Inactivity, Rest","Workout, Training, Gymnastics, Athletics",We should exercise every day to stay healthy.,Prep Class
1468,Eye,The organ of sight,"Blindness, Dark, Obscurity, Sightlessness","Orb, Pupil, Eyeball, Optic",I have blue eyes and my friend has brown eyes.,Prep Class
1469,Ear,The organ of hearing,"Deafness, Silence, Quiet, Hush","Auditory organ, Hearing, Acoustic receptor, Tympanic membrane",I use my ears to listen to music.,Prep Class
1470,Excuse,A reason or explanation given to justify a fault or offense,"Accusation, Blame, Guilt, Responsibility","Justification, Alibi, Defense, Apology",I had to excuse myself from the dinner party because I was feeling sick.,Prep Class
1471,Explore,To travel through an unfamiliar area to learn about it,"Ignore, Neglect, Overlook, Disregard","Investigate, Scout, Search, Probe",Let's explore the forest and see what we can find.,Prep Class
1472,Envelope,A flat paper container used to enclose a letter or document,"Open, Expose, Uncover, Unfold","Wrapper, Packet, Cover, Encasement",I put the letter in an envelope and mailed it to my friend.,Prep Class
1473,Earth,The planet we live on,"Sky, Space, Universe, Galaxy","Globe, World, Terra, Soil",We need to take care of the Earth by recycling and not littering.,Prep Class
1474,Exit,The way out of a building or a place,"Entrance, Arrival, Entry, Access","Departure, Egress, Outlet, Passage",We need to find the exit to leave the movie theater.,Prep Class
1475,Excited,Very enthusiastic and eager,"Calm, Composed, Unmoved, Unimpressed","Animated, Ecstatic, Enthused, Overjoyed",I'm excited to see my grandparents this weekend.,Prep Class
1476,Easy,Not difficult; requiring little effort or exertion,"Hard, Difficult, Challenging, Complicated","Effortless, Simple, Basic, Undemanding",The math problem was easy to solve.,Prep Class
2736,Ball,A round object used for playing,"Square, rectangle, triangle, polygon","Sphere, orb, globe, bouncy toy",I like to play with my ball in the park.,Prep Class
2737,Bat,A tool used to hit a ball,"Glove, mitt, catcher, umpire","Club, stick, paddle, racquet",I used my bat to hit the ball in baseball.,Prep Class
2738,Bear,"A large, furry mammal","Lion, tiger, cheetah, jaguar","Grizzly, polar, black, panda",The teddy bear is my favorite stuffed animal.,Prep Class
2739,Bee,A flying insect that collects nectar from flowers,"Butterfly, moth, caterpillar, spider","Wasp, hornet, bumblebee, honeybee",The bee is busy collecting nectar from the flowers.,Prep Class
2740,Bike,A vehicle with two wheels that is powered by pedaling,"Car, truck, train, airplane","Bicycle, cycle, pedal bike, two-wheeler",I learned how to ride my bike without training wheels.,Prep Class
2741,Bird,A flying animal with feathers,"Fish, dog, cat, mouse","Finch, sparrow, hawk, eagle",The bird chirped a beautiful song in the morning.,Prep Class
2742,Boat,A vehicle used for traveling on water,"Car, plane, train, bike","Ship, yacht, canoe, kayak",We went fishing on a boat in the lake.,Prep Class
2743,Book,A collection of written or printed pages,"Movie, TV show, game, toy","Novel, story, text, tome",I read a book about dinosaurs at the library.,Prep Class
2744,Bottle,A container with a narrow neck used to hold liquids,"Glass, cup, plate, bowl","Flask, jar, container, vessel",Mommy gave me a bottle of water to drink.,Prep Class
2745,Box,"A container with four sides, a bottom, and a lid","Sphere, cylinder, pyramid, cube","Crate, chest, package, carton",I put my toys in the box to keep them organized.,Prep Class
2746,Boy,A male child or teenager,"Girl, woman, man, grandma","Lad, youth, guy, dude",My best friend is a boy and we like to play together.,Prep Class
2747,Bread,"A food made of flour, water, and yeast","Fruit, meat, vegetables, candy","Loaf, baguette, roll, toast",I like to eat peanut butter and jelly sandwiches on bread.,Prep Class
